2d_loss   	3d_loss   	adv_loss   	temporal_loss   	
6.044518	7.064738	1.806704	4.053606	
6.132456	7.090755	1.862426	6.002899	
5.942394	6.765058	2.276356	7.492224	
5.064950	6.035451	2.295066	8.810801	
4.805667	5.742349	2.289318	9.729214	
4.896222	5.554071	2.251512	10.116116	
4.531920	5.398167	2.199885	10.683265	
4.433033	5.014934	2.358120	10.909204	
4.049020	4.865638	2.515284	10.742907	
4.087971	4.776894	2.767822	11.216766	
3.859228	4.667943	2.782330	10.623885	
3.700879	4.141283	2.922484	10.671744	
3.531131	4.170293	2.821526	10.072535	
3.677215	4.326008	2.970919	9.810331	
3.413290	3.826772	2.980324	8.991488	
3.353914	4.114959	2.975146	8.535534	
3.549906	4.116664	3.143959	8.333891	
3.526670	3.903944	3.445044	8.316367	
3.970412	4.079516	3.557639	7.809409	
3.523189	4.097951	3.443214	7.072410	
3.425194	3.871082	3.546992	7.175213	
3.746485	4.449033	3.431786	6.533560	
3.502894	3.794169	3.614862	6.593329	
3.280137	3.875381	3.415650	6.193546	
3.308659	3.786531	3.493879	6.139495	
3.366813	3.937704	3.177862	5.655445	
3.385950	4.054070	3.445669	5.701765	
3.229756	3.631715	3.477712	5.668449	
3.282485	3.830695	3.547844	5.610867	
3.175469	3.611810	3.557933	5.596241	
3.124065	3.557533	3.385554	5.279205	
3.184513	3.403047	3.558951	5.775271	
3.081765	3.439184	3.502326	5.727340	
3.056520	3.459934	3.263342	5.726136	
3.125882	3.482792	3.409083	5.700757	
3.244012	3.587016	3.430110	5.884063	
2.891751	3.521457	3.178185	5.552204	
2.987547	3.356005	3.305549	6.028103	
2.820776	3.466948	3.232208	6.148152	
2.989575	3.255047	3.315731	6.543774	
3.234217	3.529821	3.395391	6.924459	
3.038406	3.631123	2.892092	6.606707	
2.838710	3.356859	3.118872	7.176784	
2.926602	3.622620	2.994083	6.959946	
3.158015	3.485370	3.192154	7.708814	
3.369098	3.680798	3.274860	8.114941	
3.021162	3.485576	3.162655	7.480265	
3.014385	3.701834	3.034140	7.520589	
3.264870	3.448262	3.181424	7.717814	
2.899208	3.364801	3.269178	7.980535	
3.163222	3.599749	3.246849	8.207708	
2.795183	3.444553	2.914009	7.996703	
2.870007	3.352217	2.908445	8.210987	
2.866645	3.127730	3.022929	8.379162	
2.867419	3.280246	2.990396	8.444771	
2.882750	3.503888	3.032090	8.115605	
3.285866	3.581235	3.241790	8.540133	
2.984849	3.381583	3.422573	8.769221	
2.937756	3.207990	3.307801	8.749557	
2.943923	3.382157	3.288764	8.637467	
3.317573	3.432042	3.233438	8.654852	
3.108728	3.765428	3.103238	8.617583	
2.659389	3.349303	3.178500	8.734774	
2.841844	3.807019	3.144068	8.146045	
2.795089	3.218198	3.483183	9.220839	
3.150426	3.569086	3.481318	9.102322	
2.874924	3.139730	3.224078	9.187422	
3.236850	3.269438	3.414260	9.266468	
2.897738	2.992991	3.494266	10.220238	
3.050879	3.738358	3.286309	10.328627	
2.725501	3.297563	3.189183	10.406510	
2.756316	3.111398	3.509173	11.692160	
2.480112	3.136070	3.483061	11.955078	
2.845314	3.343516	3.574341	12.738021	
2.472543	3.309053	3.527041	12.604036	
2.721211	3.429103	3.712719	13.128359	
2.974243	3.311861	3.469083	13.745069	
2.560971	3.119923	3.597764	14.281847	
2.506719	3.146041	3.579831	14.685824	
2.668967	3.311970	3.722497	15.805082	
