2d_loss   	3d_loss   	adv_loss   	temporal_loss   	
8.274218	10.049281	3.778225	3.251521	
7.686142	9.297383	6.947121	5.497368	
6.589792	8.240878	9.897636	8.408058	
5.889515	7.887125	11.680964	10.377607	
5.472342	7.406331	13.061249	11.629544	
4.997902	6.837848	12.885077	11.464540	
4.596490	6.518115	12.327141	11.075451	
4.476887	6.330967	11.719738	10.552212	
4.231226	6.230411	10.384623	9.814278	
4.201415	6.171357	9.932735	8.917613	
4.183909	5.950514	9.446313	8.545843	
4.109361	6.157972	8.955689	7.944588	
3.879212	5.928232	8.629593	7.762790	
3.978148	5.846754	8.626938	7.800413	
3.665495	5.629084	8.497839	7.548693	
3.887797	5.388190	8.990950	7.965151	
3.844268	5.464266	8.959734	8.357831	
3.780171	5.564993	9.162483	8.429016	
3.920465	5.370832	9.453920	9.292183	
3.625413	5.171114	9.488986	9.287748	
3.578905	5.165757	9.373613	9.769893	
3.701084	5.052228	9.228482	10.208590	
3.412237	4.676769	8.651798	9.980639	
3.398031	4.633460	8.515148	10.281086	
3.281289	4.585813	8.130695	10.547981	
3.371542	4.355420	7.833810	10.359751	
3.094363	4.229425	7.517362	10.314802	
3.069958	4.296701	6.939749	9.632422	
3.076613	4.118513	7.076567	9.742361	
2.902855	3.992586	6.996635	9.484971	
2.999707	3.942934	6.786623	9.096360	
3.147897	4.054564	7.059177	9.249073	
2.993086	4.138005	7.033018	8.899168	
2.969010	3.774064	7.450678	9.296374	
3.084550	3.995905	7.294797	8.949045	
2.967905	3.723163	7.423609	9.270540	
2.922744	3.741808	7.509853	9.296953	
2.808323	3.608866	7.416927	9.378027	
2.853336	3.637455	7.288344	9.539945	
2.916960	3.671296	7.072140	9.371137	
2.795094	3.560744	7.076207	9.824574	
2.855183	3.496430	7.203804	9.988970	
2.725750	3.504860	6.893211	9.904766	
2.760460	3.319426	6.912589	9.932899	
2.741178	3.446133	6.720716	9.972878	
2.698194	3.463198	6.761760	9.828713	
2.848150	3.481603	6.895531	9.818302	
2.840992	3.350815	7.074434	9.896446	
2.711981	3.406327	7.020784	9.489388	
2.626728	3.411397	6.887588	9.234991	
2.596720	3.219229	7.213665	9.543250	
2.592619	3.291163	6.962663	9.243130	
2.563512	3.266965	6.888351	9.144054	
2.693947	3.265476	6.882534	9.291126	
2.594973	3.284267	6.668106	8.993697	
2.614103	3.172694	6.624504	8.977148	
2.649540	3.205857	6.808161	9.320913	
2.496924	3.169182	6.624260	9.335497	
2.484808	3.128847	6.594019	9.113867	
2.516398	3.220880	6.757450	9.464790	
2.571985	3.164890	6.759411	9.409708	
2.376868	3.117991	6.535891	9.122366	
2.497894	3.057595	6.875692	9.754332	
2.465504	3.053360	6.704232	9.266960	
2.425828	3.084549	6.698201	9.471823	
2.371916	2.985340	6.705378	9.428432	
2.395545	2.943467	6.669668	9.268742	
2.285363	2.888640	6.637582	9.134366	
2.403658	2.983474	6.756070	9.267017	
2.421841	2.983509	6.887006	9.375371	
2.342810	3.020993	6.700303	9.215994	
2.342505	2.940422	6.758029	9.135358	
2.427842	3.014695	6.763182	9.141914	
2.348382	3.007380	6.552451	8.866507	
2.281948	2.764486	6.778309	9.287086	
2.249898	2.839664	6.523314	9.026564	
2.274451	2.918132	6.617893	8.921171	
2.391318	2.918723	6.810489	9.279491	
2.266653	2.884783	6.696545	9.193407	
2.364021	3.002950	6.455414	8.857695	
2.285736	2.864532	6.599616	9.128174	
2.335109	2.888288	6.462615	9.018898	
2.335205	2.807004	6.689984	9.172956	
2.187037	2.811850	6.540082	8.813471	
2.217716	2.861368	6.534724	8.724745	
2.284438	2.851548	6.702781	8.773613	
2.350374	2.947344	6.638355	8.862444	
2.153685	2.721331	6.572511	8.756916	
2.393619	2.788072	6.760748	9.041750	
2.287115	2.850879	6.566387	8.810762	
2.209643	2.826269	6.524660	8.681824	
2.252588	2.681438	6.649184	9.069057	
2.211717	2.775376	6.797570	9.006245	
2.341938	2.793744	6.786126	8.937845	
2.159391	2.769187	6.676978	8.912882	
2.133412	2.699191	6.315060	8.587296	
2.114222	2.725311	6.418615	8.664955	
2.157266	2.781791	6.335244	8.646898	
2.110551	2.784798	6.345397	8.310551	
2.030709	2.653980	6.289583	8.323816	
2.104538	2.669567	6.517795	8.593836	
2.341286	2.722365	6.621038	8.716064	
2.178557	2.726214	6.595047	8.704258	
2.107406	2.661028	6.569133	8.478490	
2.173152	2.712700	6.723686	8.805538	
2.148816	2.572433	6.834363	9.064308	
2.028150	2.616433	6.481764	8.567844	
2.017265	2.665997	6.343439	8.308994	
1.991129	2.567496	6.493936	8.811684	
2.073892	2.643165	6.359911	8.501394	
2.097336	2.643232	6.306598	8.627037	
2.089698	2.644377	6.412537	8.615210	
2.220122	2.688627	6.460129	8.555401	
2.055945	2.583274	6.697339	8.694733	
2.116508	2.580349	6.496665	8.416395	
2.009703	2.530540	6.648020	8.486727	
1.985785	2.456359	6.556327	8.374554	
1.961700	2.471972	6.644734	8.395886	
1.909502	2.519006	6.484124	8.476650	
2.011848	2.578492	6.390982	8.220011	
2.014891	2.561686	6.362226	8.200445	
2.089461	2.534214	6.452187	8.616156	
2.127476	2.709077	6.253099	8.437849	
1.905063	2.414148	6.239053	8.334242	
2.011236	2.563745	6.372397	8.407892	
1.907189	2.423915	6.344302	8.395235	
2.017081	2.393918	6.555922	8.513429	
1.921157	2.506651	6.464735	8.134129	
1.974909	2.499228	6.363016	8.406837	
1.944390	2.480227	6.510937	8.531967	
1.909989	2.381323	6.267305	8.239365	
1.931725	2.392049	6.332740	8.171576	
1.957090	2.388084	6.367775	8.431737	
1.931361	2.420038	6.318854	8.432932	
1.962590	2.420457	6.226015	8.280313	
1.859485	2.355311	6.215846	8.078249	
1.947155	2.383324	6.235641	8.172636	
1.852962	2.395709	6.206038	8.182253	
